displayName, name, status, startType
AllJoyn Router Service,AJRouter,Stopped,Manual
Application Layer Gateway Service,ALG,Stopped,Manual
Application Identity,AppIDSvc,Stopped,Manual
Application Information,Appinfo,Running,Manual
Application Management,AppMgmt,Running,Manual
App Readiness,AppReadiness,Stopped,Manual
Microsoft App-V Client,AppVClient,Stopped,Disabled
AppX Deployment Service (AppXSVC),AppXSvc,Stopped,Manual
AssignedAccessManager Service,AssignedAccessManagerSvc,Stopped,Manual
Windows Audio Endpoint Builder,AudioEndpointBuilder,Running,Automatic
Windows Audio,Audiosrv,Running,Automatic
ActiveX Installer (AxInstSV),AxInstSV,Stopped,Manual
GameDVR and Broadcast User Service_2e212,BcastDVRUserService_2e212,Stopped,Manual
BitLocker Drive Encryption Service,BDESVC,Stopped,Manual
Base Filtering Engine,BFE,Running,Automatic
Background Intelligent Transfer Service,BITS,Stopped,Manual
Bluetooth User Support Service_2e212,BluetoothUserService_2e212,Stopped,Manual
Background Tasks Infrastructure Service,BrokerInfrastructure,Running,Automatic
Bluetooth Audio Gateway Service,BTAGService,Stopped,Manual
AVCTP service,BthAvctpSvc,Running,Manual
Bluetooth Support Service,bthserv,Stopped,Manual
Capability Access Manager Service,camsvc,Running,Manual
CaptureService_2e212,CaptureService_2e212,Stopped,Manual
Clipboard User Service_2e212,cbdhsvc_2e212,Running,Manual
Connected Devices Platform Service,CDPSvc,Running,Automatic
Connected Devices Platform User Service_2e212,CDPUserSvc_2e212,Running,Automatic
Certificate Propagation,CertPropSvc,Stopped,Manual
Client License Service (ClipSVC),ClipSVC,Stopped,Manual
COM+ System Application,COMSysApp,Running,Manual
ConsentUX_2e212,ConsentUxUserSvc_2e212,Stopped,Manual
CoreMessaging,CoreMessagingRegistrar,Running,Automatic
Cryptographic Services,CryptSvc,Running,Automatic
Offline Files,CscService,Stopped,Manual
DCOM Server Process Launcher,DcomLaunch,Running,Automatic
Optimize drives,defragsvc,Stopped,Manual
Device Association Service,DeviceAssociationService,Stopped,Manual
Device Install Service,DeviceInstall,Stopped,Manual
DevicePicker_2e212,DevicePickerUserSvc_2e212,Stopped,Manual
DevicesFlow_2e212,DevicesFlowUserSvc_2e212,Stopped,Manual
DevQuery Background Discovery Broker,DevQueryBroker,Stopped,Manual
DHCP Client,Dhcp,Running,Automatic
Microsoft (R) Diagnostics Hub Standard Collector Service,diagnosticshub.standardcollector.service,Stopped,Manual
Diagnostic Execution Service,diagsvc,Stopped,Manual
Connected User Experiences and Telemetry,DiagTrack,Running,Automatic
Display Enhancement Service,DisplayEnhancementService,Stopped,Manual
Device Management Enrollment Service,DmEnrollmentSvc,Stopped,Manual
Device Management Wireless Application Protocol (WAP) Push message Routing Service,dmwappushservice,Stopped,Manual
DNS Client,Dnscache,Running,Automatic
Delivery Optimization,DoSvc,Running,Automatic
Wired AutoConfig,dot3svc,Stopped,Manual
Diagnostic Policy Service,DPS,Running,Automatic
Device Setup Manager,DsmSvc,Stopped,Manual
Data Sharing Service,DsSvc,Stopped,Manual
Data Usage,DusmSvc,Running,Automatic
Extensible Authentication Protocol,Eaphost,Stopped,Manual
Encrypting File System (EFS),EFS,Stopped,Manual
Embedded Mode,embeddedmode,Stopped,Manual
Enterprise App Management Service,EntAppSvc,Stopped,Manual
Windows Event Log,EventLog,Running,Automatic
COM+ Event System,EventSystem,Running,Automatic
Fax,Fax,Stopped,Manual
Function Discovery Provider Host,fdPHost,Stopped,Manual
Function Discovery Resource Publication,FDResPub,Stopped,Manual
File History Service,fhsvc,Stopped,Manual
Windows Font Cache Service,FontCache,Running,Automatic
